Project,Plate_ID,Plate_Row,Plate_Col,Sample,Raw_value
HTS_Cell_Screen_FP,214,4,4,TN214-04-04,2.67606914725917
HTS_Cell_Screen_FP,214,4,5,TN214-04-05,12.8936385721554
HTS_Cell_Screen_FP,214,4,6,TN214-04-06,4.55025586576475
HTS_Cell_Screen_FP,214,4,7,TN214-04-07,14.2610521863588
HTS_Cell_Screen_FP,214,4,8,TN214-04-08,14.5177956710716
HTS_Cell_Screen_FP,214,4,9,TN214-04-09,7.57881788718529
HTS_Cell_Screen_FP,214,4,10,TN214-04-10,3.8949660338208
HTS_Cell_Screen_FP,214,4,11,TN214-04-11,6.12704282671697
HTS_Cell_Screen_FP,214,4,12,TN214-04-12,10.5325623806003
HTS_Cell_Screen_FP,214,4,13,TN214-04-13,5.08726794882258
HTS_Cell_Screen_FP,214,4,14,TN214-04-14,17.6947972740577
HTS_Cell_Screen_FP,214,4,15,TN214-04-15,16.3600348163492
HTS_Cell_Screen_FP,214,4,16,TN214-04-16,7.74012159298623
HTS_Cell_Screen_FP,214,4,17,TN214-04-17,5.00528147481363
HTS_Cell_Screen_FP,214,4,18,TN214-04-18,13.6795600779182
HTS_Cell_Screen_FP,214,4,19,TN214-04-19,13.4045015668995
HTS_Cell_Screen_FP,214,4,20,TN214-04-20,13.1401205904451
HTS_Cell_Screen_FP,214,4,21,TN214-04-21,4.13185586638246
HTS_Cell_Screen_FP,214,4,22,TN214-04-22,19.2640884428457
HTS_Cell_Screen_FP,214,4,23,TN214-04-23,8.41264117454791
HTS_Cell_Screen_FP,214,4,24,ctrl,9.20909921309235
HTS_Cell_Screen_FP,214,5,1,ctrl,87.9989107451754
HTS_Cell_Screen_FP,214,5,2,TN214-05-02,9.65471771601377
HTS_Cell_Screen_FP,214,5,3,TN214-05-03,8.18948794556496
HTS_Cell_Screen_FP,214,5,4,TN214-05-04,4.80929743905615
HTS_Cell_Screen_FP,214,5,5,TN214-05-05,5.33950948251619
HTS_Cell_Screen_FP,214,5,6,TN214-05-06,10.6391127158488
HTS_Cell_Screen_FP,214,5,7,TN214-05-07,3.85136963368085
HTS_Cell_Screen_FP,214,5,8,TN214-05-08,5.24295374387458
HTS_Cell_Screen_FP,214,5,9,TN214-05-09,10.1623393288337
HTS_Cell_Screen_FP,214,5,10,TN214-05-10,6.32166609960808
HTS_Cell_Screen_FP,214,5,11,TN214-05-11,1.95894013452762
HTS_Cell_Screen_FP,214,5,12,TN214-05-12,16.1180230580135
HTS_Cell_Screen_FP,214,5,13,TN214-05-13,17.8771717569811
HTS_Cell_Screen_FP,214,5,14,TN214-05-14,4.58526217039432
HTS_Cell_Screen_FP,214,5,15,TN214-05-15,13.8831981735092
HTS_Cell_Screen_FP,214,5,16,TN214-05-16,12.2568849742165
HTS_Cell_Screen_FP,214,5,17,TN214-05-17,8.38943724025537
HTS_Cell_Screen_FP,214,5,18,TN214-05-18,20.9973062232974
HTS_Cell_Screen_FP,214,5,19,TN214-05-19,10.8039383889063
